language,size,case,repetitions,avg_time_ms,std_time_ms,avg_comparisons,avg_swaps
Java,100,best,20,0.019748,0.020587,1081,640
Java,100,average,20,0.009012,0.001390,1028,581
Java,100,worst,20,0.010198,0.015277,944,516
Java,1000,best,20,0.089365,0.010280,17583,9708
Java,1000,average,20,0.095852,0.014757,16859,9086
Java,1000,worst,20,0.047096,0.011149,15965,8316
Java,5000,best,20,0.315433,0.110867,112126,60932
Java,5000,average,20,0.388013,0.023045,107694,57105
Java,5000,worst,20,0.279523,0.027730,103227,53436
Java,10000,best,20,0.494458,0.028756,244460,131956
Java,10000,average,20,0.723623,0.028729,235329,124183
Java,10000,worst,20,0.507688,0.021980,226682,116696
